Bottom Zone List for /home/santhosh/work/fonts/Malini/fonts/Malini/otf/Malini-Regular.otf on Mon Jan 23 15:29:25 2023
count   height    glyphs
    1     -340    [ml_pa_virama_ra_sign_uu]
    2     -339    [ml_na_virama_ta_virama_ra_sign_uu ml_ma_virama_ra_sign_uu]
    1     -338    [ml_ssa_virama_ra_sign_uu]
    1     -337    [ml_ha_virama_ra_sign_uu]
    1     -336    [ml_ga_virama_ra_sign_uu]
   19     -335    [ml_ka_sign_vocalic_r ml_nga_virama_ka_sign_vocalic_r ml_dda_sign_vocalic_r ml_dha_sign_vocalic_r ml_sha_sign_vocalic_r ml_sa_sign_vocalic_r ml_sign_vocalic_r ml_sign_vocalic_rr ml_ga_virama_da_virama_dha_virama_ra_sign_uu ml_dda_virama_ra_sign_uu ml_dha_virama_ra_sign_uu]
    2     -334    [ml_da_virama_dha_virama_ra_sign_uu ml_va_virama_ra_sign_uu]
    1     -329    [ml_sa_virama_ta_virama_ra]
    1     -328    [ml_ma_virama_pa_virama_ra_sign_uu]
    3     -323    [ml_sha_virama_sha_sign_uu ml_ssa_virama_pa]
    1     -318    [ml_pha_virama_ra_sign_uu]
    3     -317    [ml_sa_virama_pa ml_nga_virama_ka_virama_ra_sign_uu]
    1     -315    [ml_sa_virama_pa]
   32     -310    [uu_drop_sign ml_sign_uu ml_kha_sign_uu ml_gha_sign_uu ml_nya_sign_uu ml_ttha_sign_uu ml_da_sign_uu ml_llla_sign_uu ml_ka_virama_ssa_sign_uu ml_ga_virama_da_sign_uu ml_nya_virama_ca_sign_uu ml_ja_virama_nya_sign_uu ml_nya_virama_nya_sign_uu ml_ta_virama_tha_sign_uu ml_ta_virama_sa_sign_uu ml_sa_virama_tha_sign_uu]
   10     -307    [ml_ga_virama_ma_sign_uu ml_ja_virama_ra_sign_uu ml_ta_virama_ta_virama_ra_sign_uu ml_na_virama_dha_virama_ra_sign_uu ml_bha_virama_ra_sign_uu]
    2     -303    [ml_la_virama_pa]
    1     -298    [ml_nna_virama_tta_virama_ra_sign_uu]
    1     -297    [ml_ka_virama_ra_sign_uu]
   31     -295    [ogonek ogonekcmb y ml_la_virama_pa ycircumflex yacute ygrave ydieresis aogonek eogonek iogonek uogonek Aogonek Eogonek Iogonek Uogonek]
    4     -292    [ml_rra_sign_uu ml_sa_sign_uu]
    2     -291    [ml_nga_sign_uu]
    4     -290    [ij j]
    3     -289    [dotlessj ml_da_virama_ra_sign_uu]
   48     -286    [ml_ka_sign_uu ml_ka_virama_ka_sign_uu ml_ga_sign_u ml_ga_sign_uu ml_nga_virama_ka_sign_uu ml_cha_sign_u ml_cha_sign_uu ml_ja_sign_u ml_ja_sign_uu ml_ja_virama_ja_sign_u ml_ja_virama_ja_sign_uu ml_ta_sign_u ml_ta_sign_uu ml_ta_virama_ta_sign_u ml_ta_virama_ta_sign_uu ml_ta_virama_bha_sign_u ml_na_virama_ta_sign_u ml_na_virama_ta_sign_uu ml_pa_virama_pa ml_sha_sign_u ml_sha_sign_uu ml_ha_sign_u ml_ha_sign_uu ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu]
   70     -285    [u_drop_sign ml_ga_sign_vocalic_r ml_tta_virama_tta ml_ta_sign_vocalic_r ml_ta_virama_ta_sign_vocalic_r ml_da_sign_vocalic_r ml_da_virama_da ml_na_sign_vocalic_r ml_pa_sign_vocalic_r ml_ba_sign_vocalic_r ml_bha_sign_uu ml_ma_sign_vocalic_r ml_va_sign_vocalic_r ml_ha_sign_vocalic_r ml_sign_u ml_virama_ya ml_digit_eight ml_kha_sign_u ml_gha_sign_u ml_nya_sign_u ml_ttha_sign_u ml_da_sign_u ml_llla_sign_u ml_ka_virama_ssa_sign_u ml_ga_virama_da_sign_u ml_nga_virama_nga_sign_uu ml_nya_virama_ca_sign_u ml_ja_virama_nya_sign_u ml_nya_virama_nya_sign_u ml_tta_virama_tta_sign_u ml_tta_virama_tta_sign_uu ml_ta_virama_tha_sign_u ml_ta_virama_sa_sign_u ml_na_virama_da_sign_uu ml_sa_virama_tha_sign_u ml_virama_ya_sign_u ml_virama_ya_sign_uu]
    1     -284    [ml_da_virama_da_sign_uu]
    1     -283    [ml_da_virama_da_sign_u]
   10     -282    [ml_ga_virama_ma_sign_u ml_ja_virama_ra_sign_u ml_ta_virama_ta_virama_ra_sign_u ml_na_virama_dha_virama_ra_sign_u ml_bha_virama_ra_sign_u]
    4     -281    [ml_digit_six ml_number_one_hundred]
   37     -278    [ml_pa_virama_pa ml_ca_sign_uu ml_tha_sign_uu ml_pa_sign_uu ml_pha_sign_uu ml_ba_sign_uu ml_ma_sign_uu ml_la_sign_uu ml_va_sign_uu ml_ssa_sign_uu ml_nna_virama_ma_sign_uu ml_na_virama_tha_sign_uu ml_na_virama_ma_sign_uu ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu ml_ma_virama_ma_sign_uu ml_ma_virama_pa_sign_uu ml_sha_virama_ca_sign_uu ml_ha_virama_ma_sign_uu ml_na_virama_da_virama_ra_sign_uu ml_sa_virama_ra_sign_uu]
    4     -277    [ml_ja_virama_ra ml_ja_virama_ra_sign_u ml_ja_virama_ra_sign_uu]
    2     -276    [Eng]
    8     -273    [ml_jha_sign_uu ml_dda_sign_uu ml_dha_sign_uu ml_na_virama_dha_sign_uu]
    2     -271    [ml_ddha_sign_uu]
    2     -270    [ml_nna_virama_tta_sign_uu]
    4     -267    [ml_rra_sign_u ml_sa_sign_u]
    2     -266    [ml_nga_sign_u]
   10     -265    [eng ml_ka_virama_ta_virama_ra ml_nna_virama_dda_sign_uu ml_ta_virama_ma_sign_uu ml_ka_virama_ta_virama_ra_sign_u ml_ka_virama_ta_virama_ra_sign_uu]
    2     -264    [ml_tta_virama_ra_sign_uu]
   12     -263    [g gcircumflex gcedilla gdotaccent gbreve ml_ya_sign_uu]
    6     -262    [ml_na_virama_dha_virama_ra ml_tta_sign_uu ml_na_virama_dha_virama_ra_sign_u ml_na_virama_dha_virama_ra_sign_uu]
   12     -260    [ml_ka_virama_ka_virama_ra ml_ga_virama_da_virama_dha_virama_ra ml_nga_virama_nga_sign_u ml_na_virama_da_sign_u ml_ka_virama_ka_virama_ra_sign_u ml_ka_virama_ka_virama_ra_sign_uu ml_ga_virama_da_virama_dha_virama_ra_sign_u ml_ga_virama_da_virama_dha_virama_ra_sign_uu]
    6     -257    [section ml_ta_virama_ta_virama_ra ml_ta_virama_ta_virama_ra_sign_u ml_ta_virama_ta_virama_ra_sign_uu]
    5     -255    [ml_dda_virama_ddha ml_ga_virama_da_virama_dha_sign_uu ml_da_virama_dha_sign_uu]
   36     -253    [ml_nna_virama_tta_virama_ra ml_ca_sign_u ml_tha_sign_u ml_pa_sign_u ml_pha_sign_u ml_ba_sign_u ml_ma_sign_u ml_la_sign_u ml_va_sign_u ml_ssa_sign_u ml_nna_virama_ma_sign_u ml_na_virama_tha_sign_u ml_na_virama_ma_sign_u ml_ma_virama_ma_sign_u ml_ma_virama_pa_sign_u ml_sha_virama_ca_sign_u ml_ha_virama_ma_sign_u ml_nna_virama_tta_virama_ra_sign_u ml_nna_virama_tta_virama_ra_sign_uu]
   12     -250    [mu p q thorn ml_ba_virama_ra ml_ttta ml_ba_virama_ra_sign_u ml_ba_virama_ra_sign_uu]
    8     -249    [ml_dda_virama_ra ml_ma_virama_pa_virama_ra ml_dda_virama_ra_sign_u ml_dda_virama_ra_sign_uu ml_ma_virama_pa_virama_ra_sign_u ml_ma_virama_pa_virama_ra_sign_uu]
   12     -248    [ml_sha_virama_ra ml_jha_sign_u ml_dda_sign_u ml_dha_sign_u ml_na_virama_dha_sign_u ml_sha_virama_ra_sign_u ml_sha_virama_ra_sign_uu]
    4     -246    [ml_para ml_ddha_sign_u]
    6     -245    [ml_ssa_virama_ra ml_nna_virama_tta_sign_u ml_ssa_virama_ra_sign_u ml_ssa_virama_ra_sign_uu]
    4     -244    [ml_ga_virama_ra ml_ga_virama_ra_sign_u ml_ga_virama_ra_sign_uu]
    8     -242    [ml_pha_virama_ra ml_ha_virama_ra ml_pha_virama_ra_sign_u ml_pha_virama_ra_sign_uu ml_ha_virama_ra_sign_u ml_ha_virama_ra_sign_uu]
    8     -241    [ml_na_virama_ta_virama_ra ml_sa_virama_ra ml_na_virama_ta_virama_ra_sign_u ml_na_virama_ta_virama_ra_sign_uu ml_sa_virama_ra_sign_u ml_sa_virama_ra_sign_uu]
    8     -240    [ml_da_virama_dha_virama_ra ml_nna_virama_dda_sign_u ml_ta_virama_ma_sign_u ml_da_virama_dha_virama_ra_sign_u ml_da_virama_dha_virama_ra_sign_uu]
    3     -239    [ml_tta_virama_ra_sign_u ml_ba_virama_ra_sign_u]
    3     -238    [ml_ya_sign_u ml_ba_virama_ra_sign_uu]
   10     -237    [ml_ka_virama_ra ml_va_virama_ra ml_tta_sign_u ml_ka_virama_ra_sign_u ml_ka_virama_ra_sign_uu ml_va_virama_ra_sign_u ml_va_virama_ra_sign_uu]
   10     -236    [ml_dha_virama_ra ml_pa_virama_ra ml_ra_sign_uu ml_dha_virama_ra_sign_u ml_dha_virama_ra_sign_uu ml_pa_virama_ra_sign_u ml_pa_virama_ra_sign_uu]
   10     -235    [ml_e ml_ee ml_ai ml_ma_virama_ra ml_ma_virama_ra_sign_u ml_ma_virama_ra_sign_uu]
    2     -232    [ml_ii]
    1     -231    [ml_ee]
    6     -230    [ml_ga_virama_da_virama_dha_sign_u ml_da_virama_dha_sign_u ml_ba_virama_ra_sign_u ml_ba_virama_ra_sign_uu]
    4     -228    [ml_bha_virama_ra ml_bha_virama_ra_sign_u ml_bha_virama_ra_sign_uu]
    1     -227    [ml_ba_virama_da]
    1     -226    [ml_sha_virama_ra_sign_u]
    9     -225    [ml_na_virama_da_virama_ra ml_ga_virama_ra_sign_u ml_ga_virama_ra_sign_uu ml_na_virama_da_virama_ra_sign_u ml_na_virama_da_virama_ra_sign_uu ml_sha_virama_ra_sign_uu ml_ssa_virama_ra_sign_u ml_ssa_virama_ra_sign_uu]
   18     -223    [ml_i ml_u ml_uu ml_bha_sign_u ml_lla ml_lla_virama_lla ml_lla_sign_u ml_lla_sign_uu ml_lla_virama_lla_sign_u ml_lla_virama_lla_sign_uu ml_dda_virama_ra_sign_u ml_dda_virama_ra_sign_uu]
   37     -222    [ml_vocalic_r ml_nga_virama_ka_virama_ra ml_ca_virama_ca ml_tta_sign_vocalic_r ml_ba_virama_ba ml_ya_virama_ya ml_va_virama_va ml_avagraha ml_vocalic_rr ml_number_ten ml_ca_virama_ca_sign_u ml_ca_virama_ca_sign_uu ml_ba_virama_ba_sign_u ml_ba_virama_ba_sign_uu ml_ya_virama_ya_sign_u ml_ya_virama_ya_sign_uu ml_va_virama_va_sign_u ml_va_virama_va_sign_uu ml_nga_virama_ka_virama_ra_sign_u ml_nga_virama_ka_virama_ra_sign_uu ml_da_virama_ra_sign_u ml_da_virama_ra_sign_uu ml_na_virama_ta_virama_ra_sign_uu ml_pha_virama_ra_sign_u ml_pha_virama_ra_sign_uu ml_ma_virama_pa_virama_ra_sign_uu ml_ha_virama_ra_sign_uu]
    2     -221    [ml_ha_virama_na_sign_uu]
   13     -220    [ml_aa ml_nna_sign_uu ml_na_sign_uu ml_na_virama_na_sign_uu ml_virama_ra ml_vocalic_ll ml_ha_virama_ra_sign_u]
    1     -219    [ml_da_virama_dha_virama_ra_sign_uu]
    2     -216    [ml_ga_virama_na_sign_uu]
    2     -215    [ml_na_virama_ta_virama_ra_sign_u ml_da_virama_dha_virama_ra_sign_u]
    4     -210    [ml_ta_virama_ra ml_ta_virama_ra_sign_u ml_ta_virama_ra_sign_uu]
   29     -205    [uu_drop_sign ml_la_virama_la ml_virama_la ml_ka_virama_la ml_ga_virama_la ml_ta_virama_la ml_pha_virama_la ml_ba_virama_la ml_ma_virama_la ml_va_virama_la ml_sha_virama_la ml_sa_virama_la ml_ha_virama_la ml_kha_sign_uu ml_gha_sign_uu ml_nya_sign_uu ml_ttha_sign_uu ml_da_sign_uu ml_llla_sign_uu ml_ka_virama_ssa_sign_uu ml_ga_virama_da_sign_uu ml_nya_virama_ca_sign_uu ml_ja_virama_nya_sign_uu ml_nya_virama_nya_sign_uu ml_ta_virama_tha_sign_uu ml_ta_virama_sa_sign_uu ml_la_virama_la_sign_u ml_la_virama_la_sign_uu ml_sa_virama_tha_sign_uu]
    5     -202    [ml_ga_virama_ma_sign_uu ml_ja_virama_ra_sign_uu ml_ta_virama_ta_virama_ra_sign_uu ml_na_virama_dha_virama_ra_sign_uu ml_bha_virama_ra_sign_uu]
    5     -195    [ml_nna_virama_nna ml_nna_virama_nna_sign_u ml_nna_virama_nna_sign_uu ml_sign_vocalic_l ml_sign_vocalic_ll]
    5     -187    [ml_virama_va ml_nga_sign_uu ml_rra_sign_uu ml_sa_sign_uu]
    1     -184    [ml_sign_uu]
    2     -181    [ml_nga_virama_nga_sign_uu ml_na_virama_da_sign_uu]
   17     -173    [ml_pa_virama_la ml_ca_sign_uu ml_tha_sign_uu ml_pa_sign_uu ml_pha_sign_uu ml_ba_sign_uu ml_ma_sign_uu ml_la_sign_uu ml_va_sign_uu ml_ssa_sign_uu ml_nna_virama_ma_sign_uu ml_na_virama_tha_sign_uu ml_na_virama_ma_sign_uu ml_ma_virama_ma_sign_uu ml_ma_virama_pa_sign_uu ml_sha_virama_ca_sign_uu ml_ha_virama_ma_sign_uu]
    1     -171    [ml_sign_vocalic_l]
    1     -170    [ml_nna_virama_nna_sign_u]
    4     -168    [ml_jha_sign_uu ml_dda_sign_uu ml_dha_sign_uu ml_na_virama_dha_sign_uu]
