Vertical Stem List for /home/santhosh/work/fonts/Malini/fonts/Malini/otf/Malini-Regular.otf on Mon Jan 23 15:26:54 2023
count    width    glyphs
   13       32    [S dollar s scircumflex Scircumflex sacute Sacute scedilla Scedilla scaron Scaron scommaaccent Scommaaccent]
   12      162    [W w yen wcircumflex Wcircumflex wacute Wacute wgrave Wgrave wdieresis Wdieresis Iogonek]
   12       61    [ml_pa_virama_ra ml_pha_virama_ra ml_ssa_virama_ra ml_ha_virama_ra ml_pa_virama_ra_sign_u ml_pa_virama_ra_sign_uu ml_pha_virama_ra_sign_u ml_pha_virama_ra_sign_uu ml_ha_virama_ra_sign_u ml_ha_virama_ra_sign_uu ml_ssa_virama_ra_sign_u ml_ssa_virama_ra_sign_uu]
   11      257    [hyphen macron macroncmb uni3A9 amacron imacron omacron umacron Amacron Omacron Umacron]
    9       92    [quotedbl quotesingle ml_ai ml_gha ml_ba_virama_ra ml_gha_sign_u ml_gha_sign_uu ml_ba_virama_ra_sign_u ml_ba_virama_ra_sign_uu]
    9       57    [seven ml_pha_virama_ra ml_ma_virama_ra ml_sa_virama_rra_virama_rra ml_fraction_one_sixteenth ml_pha_virama_ra_sign_u ml_pha_virama_ra_sign_uu ml_ma_virama_ra_sign_u ml_ma_virama_ra_sign_uu]
    9       54    [guillemotleft guillemotright ml_ssa_virama_tta ml_ssa_virama_tta_virama_ra ml_ssa_virama_ttha ml_ssa_virama_pa ml_ssa_virama_ra ml_ssa_virama_ra_sign_u ml_ssa_virama_ra_sign_uu]
    7       52    [cent ml_ka_virama_ssa ml_ja_virama_ja ml_sha_virama_na ml_ka_virama_ssa_sign_u ml_ka_virama_ssa_sign_uu]
    6      179    [X Y Ycircumflex Yacute Ygrave Ydieresis]
    5      169    [y ycircumflex yacute ygrave ydieresis]
    5      148    [Y Ycircumflex Yacute Ygrave Ydieresis]
    5      146    [y ycircumflex yacute ygrave ydieresis]
    5       89    [ordfeminine sterling ml_ii ml_uu ml_sign_au]
    4      135    [Euro ml_fraction_three_eightieths udieresis ydieresis]
    4       70    [ml_ga_virama_na_sign_uu ml_digit_six ml_number_one_hundred]
    4       44    [ml_pa_virama_pa ml_fraction_one_fifth ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu]
    3      145    [ml_va_virama_va ml_va_virama_va_sign_u ml_va_virama_va_sign_uu]
    3      102    [ml_ma_virama_ma ml_ma_virama_ma_sign_u ml_ma_virama_ma_sign_uu]
    3       75    [ml_sha_virama_sha ml_sha_virama_sha_sign_u ml_sha_virama_sha_sign_uu]
    3       46    [ml_gha ml_gha_sign_u ml_gha_sign_uu]
    3       11    [ml_ha_virama_na ml_ha_virama_na_sign_u ml_ha_virama_na_sign_uu]
    2      258    [emacron Emacron]
    2       97    [ml_ma_virama_ra_sign_u ml_ma_virama_ra_sign_uu]
    2       91    [ml_pa_sign_vocalic_r ml_digit_eight]
    2       88    [ml_au ml_au_length_mark]
    2       65    [ml_sign_vocalic_l ml_sign_vocalic_ll]
    2       63    [dollar ml_fraction_three_sixteenths]
    2       55    [guillemotleft guillemotright]
    2       47    [ml_ta_virama_ma iogonek]
    2       41    [guilsinglleft guilsinglright]
    1      199    [X]
    1      192    [X]
    1      191    [Aogonek]
    1      187    [x]
    1      178    [X]
    1      173    [V]
    1      164    [V]
    1      161    [x]
    1      156    [x]
    1      138    [lcaron]
    1       86    [ordfeminine]
    1       72    [ml_sa_virama_pa]
    1       67    [ml_sha_virama_na]
    1       53    [ml_pa_virama_na]
    1       38    [ml_fraction_one_eighth]
    1       29    [ml_fraction_three_sixteenths]
    1       28    [ml_chillu_m]
    1       26    [ml_digit_one]
    1       25    [ml_fraction_three_eightieths]
