Top Zone List for /home/santhosh/work/fonts/Malini/fonts/Malini/otf/Malini-Regular.otf on Mon Jan 23 15:29:25 2023
count   height    glyphs
    7      551    [section ml_candrabindu ml_sha_virama_na ml_sha_virama_sha ml_sha_virama_sha_sign_u ml_sha_virama_sha_sign_uu]
   33      550    [ml_ga ml_ga_sign_u ml_ga_sign_uu ml_ga_sign_vocalic_r ml_ga_virama_da ml_ga_virama_da_virama_dha ml_ga_virama_da_virama_dha_virama_ra ml_ga_virama_na ml_ga_virama_na_sign_u ml_ga_virama_na_sign_uu ml_ga_virama_ra ml_sha ml_sha_sign_u ml_sha_sign_uu ml_sha_sign_vocalic_r ml_sha_virama_ca ml_sha_virama_ra ml_sign_oo ml_ga_virama_la ml_sha_virama_la ml_ga_virama_da_sign_u ml_ga_virama_da_sign_uu ml_ga_virama_da_virama_dha_sign_u ml_ga_virama_da_virama_dha_sign_uu ml_sha_virama_ca_sign_u ml_sha_virama_ca_sign_uu ml_ga_virama_ra_sign_u ml_ga_virama_ra_sign_uu ml_ga_virama_da_virama_dha_virama_ra_sign_u ml_ga_virama_da_virama_dha_virama_ra_sign_uu ml_sha_virama_ra_sign_u ml_sha_virama_ra_sign_uu]
   44      549    [ml_dda ml_dda_sign_vocalic_r ml_dda_virama_dda ml_dda_virama_ddha ml_dda_virama_ra ml_nna_virama_tta_virama_ra ml_nna_virama_dda ml_ta_virama_ta_virama_ra ml_da_virama_dha_virama_ra ml_dha ml_dha_sign_vocalic_r ml_dha_virama_ra ml_na_virama_dha ml_na_virama_dha_virama_ra ml_ba_virama_ra ml_va_virama_ra ml_ha_virama_ra ml_number_ten ml_dda_sign_u ml_dda_sign_uu ml_dha_sign_u ml_dha_sign_uu ml_nna_virama_dda_sign_u ml_nna_virama_dda_sign_uu ml_na_virama_dha_sign_u ml_na_virama_dha_sign_uu ml_dda_virama_ra_sign_u ml_dda_virama_ra_sign_uu ml_nna_virama_tta_virama_ra_sign_u ml_nna_virama_tta_virama_ra_sign_uu ml_ta_virama_ta_virama_ra_sign_u ml_ta_virama_ta_virama_ra_sign_uu ml_dha_virama_ra_sign_u ml_dha_virama_ra_sign_uu ml_na_virama_dha_virama_ra_sign_u ml_na_virama_dha_virama_ra_sign_uu ml_da_virama_dha_virama_ra_sign_u ml_da_virama_dha_virama_ra_sign_uu ml_ba_virama_ra_sign_u ml_ba_virama_ra_sign_uu ml_va_virama_ra_sign_u ml_va_virama_ra_sign_uu ml_ha_virama_ra_sign_u ml_ha_virama_ra_sign_uu]
   13      548    [ml_tta_virama_tta ml_sa ml_sa_virama_ra ml_sa_virama_la ml_sa_sign_u ml_sa_sign_uu ml_tta_virama_tta_sign_u ml_tta_virama_tta_sign_uu ml_sa_virama_ra_sign_u ml_sa_virama_ra_sign_uu]
   64      547    [ml_ka_virama_ka_sign_u ml_ka_virama_ka_virama_ra ml_nga_virama_nga ml_tta_virama_ra ml_da_virama_dha ml_da_virama_ra ml_pa_virama_ra ml_bha_sign_uu ml_bha_virama_ra ml_ma_virama_pa_virama_ra ml_ma_virama_ra ml_ya ml_ya_virama_ya ml_llla ml_ssa_virama_ra ml_sa_sign_vocalic_r ml_sa_virama_ta ml_sa_virama_ta_virama_ra ml_sa_virama_na ml_sa_virama_pa ml_sa_virama_rra_virama_rra ml_sa_virama_sa ml_fraction_one_fifth ml_ya_sign_u ml_ya_sign_uu ml_llla_sign_u ml_llla_sign_uu ml_nga_virama_nga_sign_u ml_nga_virama_nga_sign_uu ml_da_virama_dha_sign_u ml_da_virama_dha_sign_uu ml_ya_virama_ya_sign_u ml_ya_virama_ya_sign_uu ml_sa_virama_sa_sign_u ml_sa_virama_sa_sign_uu ml_ka_virama_ka_virama_ra_sign_u ml_ka_virama_ka_virama_ra_sign_uu ml_tta_virama_ra_sign_u ml_tta_virama_ra_sign_uu ml_da_virama_ra_sign_u ml_da_virama_ra_sign_uu ml_pa_virama_ra_sign_u ml_pa_virama_ra_sign_uu ml_bha_virama_ra_sign_u ml_bha_virama_ra_sign_uu ml_ma_virama_ra_sign_u ml_ma_virama_ra_sign_uu ml_ma_virama_pa_virama_ra_sign_u ml_ma_virama_pa_virama_ra_sign_uu ml_ssa_virama_ra_sign_u ml_ssa_virama_ra_sign_uu]
   18      546    [ml_ee ml_ka_virama_ka_sign_uu ml_tta ml_tta_sign_vocalic_r ml_ta_sign_uu ml_ta_virama_ta_sign_uu ml_na_virama_ta_sign_uu ml_tta_sign_u ml_tta_sign_uu]
   26      544    [ae at c p ml_nga_virama_nga ml_sha_virama_ca ml_para ccircumflex cacute ccedilla ccaron cdotaccent ml_nga_virama_nga_sign_u ml_nga_virama_nga_sign_uu ml_sha_virama_ca_sign_u ml_sha_virama_ca_sign_uu]
   20      543    [cent m n r u ucircumflex uacute ncedilla rcedilla uring umacron ugrave udieresis utilde ubreve uogonek uhungarumlaut]
   12      542    [d dcroat q ml_sha_virama_sha ml_sha_virama_sha_sign_u ml_sha_virama_sha_sign_uu ml_sa_virama_ta ml_sa_virama_ta_virama_ra ml_sa_virama_na ml_sa_virama_rra_virama_rra dcaron]
  639      540    [e eng h hbar m n o oe oslash thorn uni3A9 ml_a ml_aa ml_i ml_ii ml_u ml_uu ml_vocalic_l ml_e ml_ai ml_o ml_oo ml_au ml_ka ml_ka_sign_u ml_ka_sign_uu ml_ka_sign_vocalic_r ml_ka_virama_ka ml_ka_virama_ka_sign_u ml_ka_virama_ka_sign_uu ml_ka_virama_ka_virama_ra ml_ka_virama_ta ml_ka_virama_ta_virama_ra ml_ka_virama_ra ml_ka_virama_rra_virama_rra ml_ka_virama_ssa ml_ga ml_ga_sign_u ml_ga_sign_uu ml_ga_sign_vocalic_r ml_ga_virama_ga ml_ga_virama_da ml_ga_virama_da_virama_dha ml_ga_virama_da_virama_dha_virama_ra ml_ga_virama_na ml_ga_virama_na_sign_u ml_ga_virama_na_sign_uu ml_ga_virama_ma ml_ga_virama_ra ml_gha ml_nga ml_nga_virama_ka ml_nga_virama_ka_sign_u ml_nga_virama_ka_sign_uu ml_nga_virama_ka_sign_vocalic_r ml_nga_virama_nga ml_ja ml_ja_sign_u ml_ja_sign_uu ml_ja_virama_ja ml_ja_virama_ja_sign_u ml_ja_virama_ja_sign_uu ml_ja_virama_nya ml_ja_virama_ra ml_jha ml_nya ml_nya_virama_ca ml_nya_virama_ja ml_nya_virama_ja_sign_u ml_nya_virama_ja_sign_uu ml_nya_virama_nya ml_ttha ml_dda ml_dda_sign_vocalic_r ml_dda_virama_dda ml_dda_virama_ddha ml_dda_virama_ra ml_ddha ml_nna ml_nna_sign_u ml_nna_sign_uu ml_nna_virama_tta ml_nna_virama_tta_virama_ra ml_nna_virama_ttha ml_nna_virama_dda ml_nna_virama_nna ml_nna_virama_nna_sign_u ml_nna_virama_nna_sign_uu ml_nna_virama_ma ml_ta ml_ta_sign_u ml_ta_sign_uu ml_ta_sign_vocalic_r ml_ta_virama_ta ml_ta_virama_ta_sign_u ml_ta_virama_ta_sign_uu ml_ta_virama_ta_sign_vocalic_r ml_ta_virama_ta_virama_ra ml_ta_virama_tha ml_ta_virama_na ml_ta_virama_bha ml_ta_virama_bha_sign_u ml_ta_virama_ma ml_ta_virama_ra ml_ta_virama_sa ml_tha ml_da ml_da_sign_vocalic_r ml_da_virama_da ml_da_virama_dha ml_da_virama_dha_virama_ra ml_da_virama_ra ml_na ml_na_sign_u ml_na_sign_uu ml_na_sign_vocalic_r ml_na_virama_ta ml_na_virama_ta_sign_u ml_na_virama_ta_sign_uu ml_na_virama_ta_virama_ra ml_na_virama_tha ml_na_virama_da ml_na_virama_da_virama_ra ml_na_virama_dha ml_na_virama_dha_virama_ra ml_na_virama_na ml_na_virama_na_sign_u ml_na_virama_na_sign_uu ml_na_virama_ma ml_na_virama_rra ml_nnna ml_ba ml_ba_sign_vocalic_r ml_ba_virama_da ml_ba_virama_ba ml_ba_virama_ra ml_bha ml_bha_sign_u ml_bha_sign_uu ml_bha_virama_ra ml_ma ml_ma_sign_vocalic_r ml_ma_virama_pa ml_ma_virama_pa_virama_ra ml_ma_virama_ma ml_ma_virama_ra ml_ya ml_ya_virama_ya ml_ra ml_ra_sign_u ml_rra ml_rra_virama_rra ml_la ml_la_virama_pa ml_la_virama_la ml_lla ml_lla_virama_lla ml_llla ml_va ml_va_sign_vocalic_r ml_va_virama_ra ml_va_virama_va ml_sha ml_sha_sign_u ml_sha_sign_uu ml_sha_sign_vocalic_r ml_sha_virama_ra ml_ssa ml_ssa_virama_tta ml_ssa_virama_tta_virama_ra ml_ssa_virama_ttha ml_ssa_virama_pa ml_ssa_virama_ra ml_sa ml_sa_sign_vocalic_r ml_sa_virama_ta ml_sa_virama_ta_virama_ra ml_sa_virama_tha ml_sa_virama_na ml_sa_virama_pa ml_sa_virama_ra ml_sa_virama_rra_virama_rra ml_sa_virama_sa ml_ha ml_ha_sign_u ml_ha_sign_uu ml_ha_sign_vocalic_r ml_ha_virama_na ml_ha_virama_na_sign_u ml_ha_virama_na_sign_uu ml_ha_virama_ma ml_ha_virama_ra ml_sign_aa ml_sign_e ml_sign_ai ml_sign_o ml_sign_au ml_virama_ra ml_para ml_chillu_m ml_chillu_y ml_chillu_lll ml_au_length_mark ml_fraction_three_eightieths ml_vocalic_ll ml_digit_two ml_digit_three ml_digit_four ml_digit_five ml_digit_six ml_digit_eight ml_digit_nine ml_number_one_hundred ml_number_one_thousand ml_fraction_three_quarters ml_fraction_one_sixteenth ml_fraction_one_eighth ml_date_mark ml_chillu_nn ml_chillu_n ml_chillu_n_virama_rra ml_chillu_rr ml_chillu_l ml_chillu_ll ml_chillu_k ecircumflex hcircumflex ocircumflex eacute nacute oacute ncedilla emacron omacron egrave ograve ecaron ncaron edieresis odieresis edotaccent ntilde otilde eogonek ohungarumlaut ml_ka_virama_la ml_ga_virama_la ml_ta_virama_la ml_ba_virama_la ml_ma_virama_la ml_va_virama_la ml_sha_virama_la ml_sa_virama_la ml_ha_virama_la ml_gha_sign_u ml_gha_sign_uu ml_nga_sign_u ml_nga_sign_uu ml_jha_sign_u ml_jha_sign_uu ml_nya_sign_u ml_nya_sign_uu ml_ttha_sign_u ml_ttha_sign_uu ml_dda_sign_u ml_dda_sign_uu ml_ddha_sign_u ml_ddha_sign_uu ml_tha_sign_u ml_tha_sign_uu ml_da_sign_u ml_da_sign_uu ml_ba_sign_u ml_ba_sign_uu ml_ma_sign_u ml_ma_sign_uu ml_ya_sign_u ml_ya_sign_uu ml_la_sign_u ml_la_sign_uu ml_va_sign_u ml_va_sign_uu ml_rra_sign_u ml_rra_sign_uu ml_ssa_sign_u ml_ssa_sign_uu ml_sa_sign_u ml_sa_sign_uu ml_lla_sign_u ml_lla_sign_uu ml_llla_sign_u ml_llla_sign_uu ml_ka_virama_ssa_sign_u ml_ka_virama_ssa_sign_uu ml_ga_virama_da_sign_u ml_ga_virama_da_sign_uu ml_ga_virama_da_virama_dha_sign_u ml_ga_virama_da_virama_dha_sign_uu ml_ga_virama_ma_sign_u ml_ga_virama_ma_sign_uu ml_nga_virama_nga_sign_u ml_nga_virama_nga_sign_uu ml_nya_virama_ca_sign_u ml_nya_virama_ca_sign_uu ml_ja_virama_nya_sign_u ml_ja_virama_nya_sign_uu ml_nya_virama_nya_sign_u ml_nya_virama_nya_sign_uu ml_nna_virama_dda_sign_u ml_nna_virama_dda_sign_uu ml_nna_virama_tta_sign_u ml_nna_virama_tta_sign_uu ml_nna_virama_ma_sign_u ml_nna_virama_ma_sign_uu ml_ta_virama_tha_sign_u ml_ta_virama_tha_sign_uu ml_da_virama_da_sign_u ml_da_virama_da_sign_uu ml_da_virama_dha_sign_u ml_da_virama_dha_sign_uu ml_ta_virama_sa_sign_u ml_ta_virama_sa_sign_uu ml_ta_virama_ma_sign_u ml_ta_virama_ma_sign_uu ml_na_virama_tha_sign_u ml_na_virama_tha_sign_uu ml_na_virama_da_sign_u ml_na_virama_da_sign_uu ml_na_virama_dha_sign_u ml_na_virama_dha_sign_uu ml_na_virama_ma_sign_u ml_na_virama_ma_sign_uu ml_na_virama_rra_sign_u ml_na_virama_rra_sign_uu ml_chillu_n_virama_rra_sign_u ml_chillu_n_virama_rra_sign_uu ml_ba_virama_ba_sign_u ml_ba_virama_ba_sign_uu ml_ma_virama_ma_sign_u ml_ma_virama_ma_sign_uu ml_ma_virama_pa_sign_u ml_ma_virama_pa_sign_uu ml_ya_virama_ya_sign_u ml_ya_virama_ya_sign_uu ml_la_virama_la_sign_u ml_la_virama_la_sign_uu ml_va_virama_va_sign_u ml_va_virama_va_sign_uu ml_sa_virama_sa_sign_u ml_sa_virama_sa_sign_uu ml_sa_virama_tha_sign_u ml_sa_virama_tha_sign_uu ml_ha_virama_ma_sign_u ml_ha_virama_ma_sign_uu ml_lla_virama_lla_sign_u ml_lla_virama_lla_sign_uu ml_rra_virama_rra_sign_u ml_rra_virama_rra_sign_uu ml_ka_virama_ra_sign_u ml_ka_virama_ra_sign_uu ml_ka_virama_ka_virama_ra_sign_u ml_ka_virama_ka_virama_ra_sign_uu ml_ka_virama_ta_virama_ra_sign_u ml_ka_virama_ta_virama_ra_sign_uu ml_ga_virama_ra_sign_u ml_ga_virama_ra_sign_uu ml_ga_virama_da_virama_dha_virama_ra_sign_u ml_ga_virama_da_virama_dha_virama_ra_sign_uu ml_ja_virama_ra_sign_u ml_ja_virama_ra_sign_uu ml_dda_virama_ra_sign_u ml_dda_virama_ra_sign_uu ml_nna_virama_tta_virama_ra_sign_u ml_nna_virama_tta_virama_ra_sign_uu ml_ta_virama_ra_sign_u ml_ta_virama_ra_sign_uu ml_ta_virama_ta_virama_ra_sign_u ml_ta_virama_ta_virama_ra_sign_uu ml_da_virama_ra_sign_u ml_da_virama_ra_sign_uu ml_na_virama_ta_virama_ra_sign_u ml_na_virama_ta_virama_ra_sign_uu ml_na_virama_da_virama_ra_sign_u ml_na_virama_da_virama_ra_sign_uu ml_na_virama_dha_virama_ra_sign_u ml_na_virama_dha_virama_ra_sign_uu ml_da_virama_dha_virama_ra_sign_u ml_da_virama_dha_virama_ra_sign_uu ml_ba_virama_ra_sign_u ml_ba_virama_ra_sign_uu ml_bha_virama_ra_sign_u ml_bha_virama_ra_sign_uu ml_ma_virama_ra_sign_u ml_ma_virama_ra_sign_uu ml_ma_virama_pa_virama_ra_sign_u ml_ma_virama_pa_virama_ra_sign_uu ml_va_virama_ra_sign_u ml_va_virama_ra_sign_uu ml_sha_virama_ra_sign_u ml_sha_virama_ra_sign_uu ml_sa_virama_ra_sign_u ml_sa_virama_ra_sign_uu ml_ha_virama_ra_sign_u ml_ha_virama_ra_sign_uu ml_ssa_virama_ra_sign_u ml_ssa_virama_ra_sign_uu]
